,unvan,Araþtýrma Alanlarý,Akademik Görevler,Yayýnlar ve Makaleler,Verdiði Dersler,cinsiyet
Prof. Dr. Muharrem Tolga SAKALLI,Profesör Doktor,1,10,90,7,1
Dr. Öðr. Üyesi Deniz TAÞKIN,Doktor Öðretim Üyesi,4,4,82,10,1
Dr. Öðr. Üyesi Altan MESUT,Doktor Öðretim Üyesi,4,7,52,9,1
Doç. Dr. Ýlhan UMUT,Doçent Doktor,1,0,35,5,1
Dr. Öðr. Üyesi Aydýn CARUS,Yardýmcý Doçent Doktor,9,0,35,7,1
Dr. Öðr. Üyesi Andaç ÞAHÝN MESUT,Doktor Öðretim Üyesi,3,5,36,5,0
Dr. Öðr. Üyesi Cem TAÞKIN,Yardýmcý Doçent Doktor,4,2,25,3,1
Dr. Öðr. Üyesi Emir ÖZTÜRK,Doktor Öðretim Üyesi,2,0,23,5,1
Dr. Öðr. Üyesi Fatma BÜYÜKSARAÇOÐLU SAKALLI,Yardýmcý Doçent Doktor,3,0,0,5,0
Dr. Öðr. Üyesi Özlem AYDIN,Yardýmcý Doçent Doktor,1,2,13,7,0
Dr. Öðr. Üyesi Tarýk YERLÝKAYA,Yardýmcý Doçent Doktor,3,3,4,8,1
Arþ. Gör. Dr. Turgut DOÐAN,Araþtýrma Görevlisi Doktor,2,0,7,0,1
