,2020,2019,2018,2017,dönem,sınıf,akts,zorunlu,akademisyen
Hata Düzelten Kodlara Giriş,50,41,33,21,güz,4,5,0,Dr. Öğr. Üyesi Derya Arda
Elektrik Devre Temelleri,209,200,206,182,güz,2,4,1,Prof. Dr. Muharrem Tolga Sakallı
Bilgisayar Mühendisliğine Giriş,176,180,182,146,güz,1,6,1,Dr. Öğr. Üyesi Andaç Mesut
İşletim Sistemleri 1,124,135,142,112,güz,3,4,1,Doç. Dr. İlhan Umut
Birleştirici Dil ile Programlama,243,212,203,188,güz,2,5,1,Dr. Öğr. Üyesi Andaç Mesut
Matematik 1,,215,,202,güz,1,6,1,Doç. Dr. Seçil Çeken
Formel Diller ve Soyut Makineler,149,133,111,110,güz,4,4,1,Dr. Öğr. Üyesi Özlem Aydın
 Türk Dili 1,,127,,98,güz,1,2,1,
Atatürk İlkeleri ve İnkılap Tarihi,,127,,102,güz,2,2,1,
Görsel Programlama,205,169,192,166,güz,3,5,1,Dr. Öğr. Üyesi Aydın Carus
Bilgi işlem Organizasyonu,50,42,43,57,güz,4,5,0,Dr. Öğr. Üyesi Özlem Uçar
C ile Programlama,216,219,250,251,güz,2,5,1,Dr. Öğr. Üyesi Aydın Carus
Bilgisayar Mimari 1,202,204,201,180,güz,3,4,1,Dr.Öğr.Üyesi Fatma Büyüksaraçoğlu Sakallı
Yöneylem Araştırma,41,37,35,12,güz,4,5,0,Dr. Öğr. Üyesi Özlem Aydın
Fizik 1,,225,,189,güz,1,6,1,Doç.Dr. Okan Akankan
Mantıksal Devre Tasarımı,178,174,162,154,güz,2,4,1,Dr. Öğr. Üyesi Deniz Taşkın
Gömülü Sistem Tasarımı,54,42,44,49,güz,4,5,0,Dr. Öğr. Üyesi Deniz Taşkın
Mesleki İngilizce 3,126,118,129,128,güz,3,2,1,Öğr. Gör. Meltem Baysal Çalışkan
İnsan Bilgisayar Etkileşimi 1,53,44,46,55,güz,4,5,0,Dr. Öğr. Üyesi Özlem Uçar
Bilgisayar Grafikleri,31,43,39,14,güz,4,5,0,Dr. Öğr. Üyesi Altan Mesut
Dosya Organizasyonu,177,181,188,163,güz,3,5,1,Dr. Öğr. Üyesi Özlem Aydın
Diferansiyel Denklemler,209,180,167,160,güz,2,4,1,Dr. Öğr. Üyesi Tarık Yerlikaya
Yapay Zeka ve Mantık Programlama,56,37,42,23,güz,4,5,0,Doç. Dr. İlhan Umut
Doğrusal Cebir,157,160,151,122,güz,1,6,1,Dr. Öğr. Üyesi Tarık Yerlikaya
Mantıksal Devre Tasarımı LAB,148,171,146,131,güz,2,3,1,Dr. Öğr. Üyesi Deniz Taşkın
İleri Programlama Yöntemleri,39,38,40,,güz,4,5,0,Dr. Öğr. Üyesi Rembiye Kandemir
Elektrik Devre Temelleri LAB,138,141,134,132,güz,3,3,1,Dr.Öğr.Üyesi Fatma Büyüksaraçoğlu Sakallı
Genel İngilizce 1,83,64,47,,güz,1,2,1,Öğr. Gör. Meltem Baysal Çalışkan
Veri Tabanı Yönetimi 1,180,187,153,137,güz,3,4,1,Dr. Öğr. Üyesi Altan Mesut
Kriptolojiye Giriş,52,44,45,57,güz,4,5,0,Prof. Dr. Muharrem Tolga Sakallı
Meslek İngilizce 1,170,133,136,160,güz,2,2,1,Öğr. Gör. Meltem Baysal Çalışkan
Sayısal Görüntü İşleme,33,37,28,15,güz,4,5,0,Dr. Öğr. Üyesi Rembiye Kandemir
,,,,,,,,,
Örüntü Tanıma,31,28,48,,bahar,4,5,0,Dr. Öğr. Üyesi Rembiye Kandemir
Matematik 2,243,308,253,308,bahar,1,6,1,Doç. Dr. Seçil Çeken
Bilgisayar Mimarisi 2,105,88,97,103,bahar,3,4,0,Dr.Öğr.Üyesi Fatma Büyüksaraçoğlu Sakallı
Yazılım Mühendisliği,162,128,128,132,bahar,4,4,0,Dr. Öğr. Üyesi Aydın Carus
Sistem Analizi ve Tasarımı,106,121,120,120,bahar,3,4,1,Doç. Dr. İlhan Umut
Sayısal Bilgisayar Tasarımı,171,180,159,178,bahar,2,4,1,Dr. Öğr. Üyesi Deniz Taşkın
Mühendislik Ekonomisi,60,52,42,,bahar,4,5,0,Dr.Öğr.Üyesi Fatma Büyüksaraçoğlu Sakallı
Ayrık Matematik,218,239,210,198,bahar,1,6,1,Prof. Dr. Muharrem Tolga Sakallı
Derleyici Teorisi,37,51,38,,bahar,4,5,0,Dr. Öğr. Üyesi Özlem Aydın
Fizik 2,243,239,218,212,bahar,1,6,1,Dr.Öğr.Üyesi A.İhsanMeşe
Sayısal Sistem Tasarımı,60,52,35,4,bahar,4,5,0,Dr. Öğr. Üyesi Deniz Taşkın
İşletim Sistemleri 2,108,93,106,101,bahar,3,4,0,Doç. Dr. İlhan Umut
İstatistiğe Giriş ve Olasılık,268,239,230,206,bahar,2,4,1,Dr.Öğr.Üyesi Fatma Büyüksaraçoğlu Sakallı
Yardımcı Teknolojiler,62,53,55,81,bahar,4,5,0,Dr. Öğr. Üyesi Özlem Uçar
Bilgisayar Ağları,138,138,133,146,bahar,3,4,1,Dr. Öğr. Üyesi Deniz Taşkın
Bilgi Güvenliği,60,53,62,93,bahar,4,5,0,Dr. Öğr. Üyesi Tarık Yerlikaya
Programlama Dillerine Giriş,304,285,252,243,bahar,2,6,1,Dr. Öğr. Üyesi Altan Mesut
Ağ Güvenliği,60,58,49,14,bahar,4,5,0,Dr. Öğr. Üyesi Andaç Mesut
Veri Tabanı Yönetimi 2,55,86,63,84,bahar,3,4,0,Dr. Öğr. Üyesi Altan Mesut
Elektronik,167,167,155,155,bahar,2,4,1,Dr. Öğr. Üyesi Tarık Yerlikaya
Nesneye Yönelik Programlama,241,260,240,245,bahar,2,5,1,Dr.Öğr.Üyesi Emir Öztürk
Veri Yapıları ve Algoritmalar,218,246,242,231,bahar,2,4,1,Dr. Öğr. Üyesi Aydın Carus
Nümerik Analiz,193,198,185,168,bahar,2,4,1,Dr. Öğr. Üyesi Derya Arda
İnsan Bilgisayar Etkileşimi 2,64,54,59,78,bahar,4,5,0,Dr. Öğr. Üyesi Özlem Uçar
Mesleki İngilizce 2,150,134,117,122,bahar,2,2,1,Öğr.Gör. Başak Bozan
Meslek İngilizce 4,142,123,128,118,bahar,3,2,1,Öğr.Gör. Başak Bozan
